"en","Comment"
"■Garden Events
■Cafeteria Announcements
■Disciplinary Committee Announcements
■Library Committee Announcements",""
"Spring  Memorial Service
        Entrance Ceremony
        SeeD Exam (Written/Field)
Summer  Garden Festival
        Summer Vacation
Autumn  Student-Sponsored Event
Winter  Winter Vacation",""
"*The competition for the hot dogs
 and meals is really getting out of hand.
 We are doing our best to provide everyone
 with enough food, so please be patient and
 conduct yourselves in an orderly fashion.
 Thank you.  As you well know, magic and
 weapons are prohibited inside the cafeteria.",""
"*Follow all disciplinary committee rules.
 This applies to junior classmen, too.
*Do not bring animals inside the Garden.
*Report seeing any unusual bugs
 in the Garden.
*Do not litter.",""
"*The following materials are overdue.  Please
 return them to the library immediately.
♦♦♦♦♦♦♦♦♦♦♦♦♦♦
 “Insect Guidebook (Color Edition)”
                                Raijin
 “Goodbye Pupurun”
                                Raijin",""
"*The following requested
 materials have arrived.
♦♦♦♦♦♦♦♦♦♦♦♦♦♦
 “Edible Flowers”
 “Turbine Engines (Revised Edition)”
 “We Meet Again, Pupurun”
 “The Sorceress' Knight (Scenario Edition)”",""
"○Your opinions are important to make our
 Garden a better place.  Write them down
 and place them in the drop box.
  _____________
*I got first!  
 Trepies forever, baby.
 Man, I wanna go out with her.
                         Trepe Groupie #1",""
"*Hey!  Trepe Groupie #1,
 you gotta name, dumbass?
*I'm gonna kick your ass.  What's your name?
*Oh I'm so scared, I'm sooo scared!  Big loser.
*I should kick both of your sorry asses.
 This is not for your silly games, got it?
                                       Xu",""
"*I don't want the disciplinary committee to
 get on my case, so I'm not writing my name.
                                J.I.
*What?  Who's J.I.?  Who are you?
                          Almasy
*See?  They're so nosy.
 Good thing I went with my initials.
                                J.I.",""
"*I'll go with initials, too.
 Hey, does anyone know if the new hot dogs
 are good?  I haven't tried them yet.
                                 Z.D.
*Oh yeah!  They're the best!
 Man, you're missing out.
    M.S.",""
"*Damn...I missed it again.
                      Z.D.
*Hey Z.D., you have your exam today,
 right?  Good luck, man!
                    M.S.
*Z.D., I hope you do well on your exam.
 Be careful, all right.      Librarian",""
"*Temporarily Closed
 We will close this bulletin board
 until people GROW UP!
 This was started for the sake
 of the Garden, not for your
 silly chit-chat.",""
"*Good luck, {Squall}!      
*It'll be a walk in the park for you.
*I don't expect fancy
 speeches from you.  Just
 lead the way for us.
*We're counting on you.",""
" {x0524} to Read On/{x0525} to Quit",""
"#bgroom_6","236"
"Test",""
"Thanks for looking at this page.
But there won't be any updates for a while.
That's because I, the Garden Festival chair,
will be leaving Garden.
I did not strive to be a SeeD, and
I won't even graduate.
I devoted all my time to the Garden
Festival, my passion...{NewPage}But in the end, there was no Garden
Festival.  That's ‘cause no one
volunteered to help out.
But I have only myself to blame.
I thought I alone could pull it off.{NewPage}I'll be starting a new life,
but I sincerely hope someone will
take over the Garden Festival committee!

Good-bye Balamb Garden!
  Wimbly Donner",""
"Hi!  My name's Selphie Tilmitt!
I just transferred here from
Trabia Garden.
I was on the Garden Festival Committee
there, so I'm excited to join...
But...there's no one on the committee here.{NewPage}So, I guess that makes me the chair!
As the Garden Festival chair, I plan
to make full use of this page.

So, here we go!
Who wants to be on the Garden Festival
Committee!?  C'mon everyone, join!{NewPage}
Let's all work together to make
the Garden Festival a success!
(Personally, I want to have a
 concert!  What do you all think?)",""
"I guess it wasn't meant to be, this time,
but there'll be a Garden Festival
next year, and the year after that
and on and on!  So...
We're still looking for new members!{NewPage}(It's not like I've given up
 on this one yet!)",""
"I've come up with a new bulletin board!
But I don't know what it'll be about.
I was thinkin' something along the lines
of friends, but I don't really have
any friends at this Garden, yet.{NewPage}This is a great chance for me to make
friends!  And then we'll work together
to make the Garden Festival a reality!",""
"I made a friend!
I think I'll have my friends
write stuff directly in here.
I thought I'd have our leader, {Squall}
go first, but then I realized he'd
never do that... So here's the order...",""
"Look up latest entry.
Look up previous entries.",""
"Nothing yet!",""
"How you all doin'?
This is Irvine Kinneas.
Selphie asked me if I would write
something.  How could I refuse?{NewPage}Well, I'm here from Galbadia Garden
due to personal reasons.
I think I fit in quite well.
What do you all think?
With so many cuties here, I look
forward to gettin' up in the mornings.{NewPage}
(You seem like a good guy
 but... I don't know...)",""
"Yo, s'up?  It's Zell Dincht.
...The hell do I write?
Yeah, I know.  I said I'd write
somethin' but I have nothin' to write.{NewPage}Oh, wait...I-love-hot dogs.
You know, the ones that're always
sold out?

Anyway, that's it for me!",""
"Hello, this is Quistis Trepe.
I've been quite busy with my SeeD
duties.  How's everyone doing with
their studies and training?
For all those working towards
becoming a SeeD and everyone else,
just remember, have fun.{NewPage}Why do I always end up sounding
like an instructor?
...Perhaps I'm a little too...serious?

(Not at all, Quistis.
 We really look up to you!)",""
"Hi, my name is {Rinoa}.
I'm not a student at Garden, but
I'll be staying here for a while.
I really like it here.{NewPage}Um...there's something I wanted to say.
When you make friends, it'd be nice to
be able to finish growing up together,
without having to think we'll be separated.
Even if we do grow up apart, I want to be
able to meet up and talk with a smile.
Hmm?  What am I trying to say?{NewPage}Anyway, I don't think I've ever been
in a setting with so many people
about my age.
It's kinda like camp.  It's fun!
I'm really glad I'm here.

(Camp?  Heeey, maybe it is
 kinda like camp!)",""
"Test
Nothing to write.
Oh, good job with the fight
against Galbadia Garden.
That's all.",""
"Latest diary
Previous diary",""
"Latest diary
Previous diary 1 (A bit old)
Previous diary 2 (Quite old)",""
"{Yellow}【My First Day】{White}
Booyaka!
(It's a lingo I wanna spread.)
Anyway, I've started my own diary!
I can't believe I'm doing this!
Selphie's Public Diary.
That's a good title, right?{NewPage}But I've never kept a diary before...
I wonder how long it'll last?
Well, I hope you find it interesting.
Enjoy.


{NewPage}I'm from Trabia.
It's a really nice place.
If you ever get the chance,
you should visit it someday.
I'm here because I want to be a SeeD!{NewPage}You can take the written test in Trabia,
but the field exam is here, and plus,
once you become a SeeD, you'll be
stationed here in Balamb.  That's why
I decided to transfer here.{NewPage}I do have a strong attachment for Trabia,
but before I knew it, I was writing my
application for a transfer.
And what do you know!{NewPage}My field exam is today!
AHHHHHHH!!!
But I'm gonna go out and do my best!
Wish me luck!",""
"{Yellow}【Passing the SeeD Exam】{White}
I passed the SeeD exam!
Whoo-hoo!
Just wanted to let you know!
The field exam took place in Dollet.
I was a member of squad A, the
intelligence team.{NewPage}I thought to myself, this will be easy,
but then, I was asked to deliver a message.
Now that was a nightmare!
(Oh well, it's part of my duties.)
Anyway...!
Squad B, which was supposed to secure the
Central Square, was nowhere to be found!{NewPage}So I ran and ran!
I had to deliver this message 'cause
I didn't want points deducted.
Well, I ended up finding squad B
but somewhere completely different.
And the squad leader was going berserk!
What was going through his head!?{NewPage}But anyway, I remained calm and
delivered the message.
I think that is what got me
the points...

Anyway, I'm really excited
to be a SeeD.{NewPage}Oh yeah...
That squad leader actually
congratulated us.  Seems like a nice guy.
He's famous at this academy, right?
Maybe if he joins the Garden Festival
Committee, he could do the recruiting?{NewPage}Well, good luck with the
next field exam, Seifer!",""
"{Yellow}【My First Mission】{White}
Booyaka!
(No one's using it!)

I've been assigned my first mission.
I'm not sure where we're to be sent.
Even if I knew, I wouldn't tell you.{NewPage}But once the mission's done,
we're free to talk all we want,
so just wait, ok?
(I hope someone's reading this...)

Well, wish me luck!
I'll be back soon!{NewPage}○ Worry #1
  Side effects of GF
  I've been studying up on the GF
  'cause I know I'll be using more of it
  now that I'm a SeeD.
  Am I going to lose my memories?{NewPage}○ Worry #2
  My other party members.
  I hope they're nice people.
○ Worry #3
  The Garden Festival will be on hold.
  C'mon, we're still looking for members!”",""
"{Yellow}【Back at Garden I】{White}
Heeey!?
Well, I come back from my shaky first
mission, and what do I find?
Garden in chaos!
First of all, let me tell you about
my first mission(among other events.){NewPage}Oh yeah!  Booyaka!
I'm doing fine!
Our first mission was in Timber.
I can't tell you details about it, but
in one word, it was a failure.{NewPage}I keep telling myself the enemy
was stronger than us...
Grrr... We should've won...!
Well, an accident happened during our
mission.  The sorceress appeared!
Yes, THE sorceress!
Her name's Edea.{NewPage}Anyway, Seifer appeared outta nowhere.
Then Edea took him off to who knows where.
We tried to make it back to Garden,
but the trains were down
so we ended up going to
Galbadia Garden.{NewPage}That Garden is quite different
from ours.  It kinda reminded me
of the army or something...",""
"{Yellow}【Back at Garden II】{White}
Well, we received a new order
at Galbadia Garden, but I don't
think I can write that here.
Based on the outcome, well...
we failed again.
The enemy's way too strong!{NewPage}Booyaka!
Our target was Sorceress Edea.
(Oops, I wrote it...)
Hmmm... The most recent and infamous
sorceress is Adel, right?
The sorceress behind the Sorceress
War, back when we were kids...?{NewPage}We learned in history class that
Sorceress Adel dissappeared and the
war just kinda ended, right?
A sorceress inherits the power from another
sorceress, so I think Edea's the one
that received Adel's powers.{NewPage}Just when Sorceress Edea and the
President of Galbadia joined forces,
she wiped out the president.
Which means, Sorceress Edea is now
controlling Galbadia.
This is exactly like the Sorceress War
with Esthar.  Time to bring out the SeeDs!",""
"{Yellow}【Back at Garden III】{White}
Well, we failed our mission
and we even failed to retreat.
As a result, we ended up in a prison
in the desert of Galbadia.
Our leader was tortured and we were
locked up, but we managed to escape!{NewPage}When you're locked up, the only thing
you think about is escaping, right?
I hope we did the right thing.
Or was that against orders?
Oh well...{NewPage}After we escaped, I heard some
terrible news.  Edea was going
to get rid of all SeeDs
by lauching missiles at Garden!{NewPage}It's quite obvious that Edea
despises SeeD and wants to
get rid of Garden,
which trains the SeeDs.{NewPage}Anyway, after I heard about the missiles
I just couldn't stand still.
So I asked our leader, {Squall}
(who did a great job, by the way),
to divide up the party so that one team
could infiltrate the missile base.",""
"{Yellow}【Back at Garden IV】{White}
The 2 teams were the messenger team
and the missile base team. I was on
the missile team and was messing
around with the computers to save Garden.
...I heard it was a close call?
But as long as we're all safe, right?{NewPage}Anyway, after messing up the computer,
we tried to escape but, oh-oh...!
We couldn't get out of the base!
Never in my whole life did I ever think
so seriously that I was going to die...{NewPage}But we were very lucky.
We were able to get inside the robot
we were fighting.  Its armor was what
actually saved us from the
explosion in the end.
That's the only time I was thankful
for Galbadia's weaponry.",""
"{Yellow}【Back at Garden V】{White}
So anyway, we were inside that robot
and made our way over here.
...Well, not exactly.
We were inside but we had no idea
how to control it.  To make matters
worse, we were picked up by the Galbadian
army and brought over to FH.{NewPage}We were pressing all these buttons
trying to get out, when we realized
we were fighting with {Squall} and
the others. I'm sorry.
We weren't attacking you.
Just trying to get out!
It's true!  Really!{NewPage}In any case, Balamb Garden
is safe. (It is, right?)
And so are we.  (I guarantee it!)
...I'm just worried about Trabia Garden.
I hope everyone's all right...",""
"It was fate, I can't quite explain.
This page is dedicated to Laguna.{NewPage}No, actually, I call him
Sir Laguna.{NewPage}He is such a hunk!
(At least that's what I think.){NewPage}It seems Sir Laguna was writing articles
in Timber Maniacs while travelling.{NewPage}I'll be posting some of
Sir Laguna's articles here.",""
"{Yellow}【Garden Festival...Not to be?】{White}
Booyaka...
The Garden Festival stage...
Have to start all over...",""
"{Yellow}【The Day {Squall} Was Appointed Leader】{White}
{Squall} was appointed as the leader of
Garden!!!  Heeey, I didn't know he
was already famous within this Garden.
Oh... I get it... That's why...
Yeah, {Squall} can do it.
So we should all support him!{NewPage}People think {Squall} seems a bit stoic, a bit
scary at times, but I don't think
that's true at all.
He's always thinking to himself,
but just doesn't like to say it.{NewPage}From what I see, I think he
hates explaining stuff.
I guess he's just not used to it.
Plus, I don't think he likes to meddle
in other people's business...{NewPage}Heeey, this isn't a corner dedicated
to analyzing {Squall}!
We all have to back him up!",""
"{Yellow}【Preparing For the Concert】{White}
Tee-hee...!
The Garden Festival seems to be out,
but the chances of a concert are pretty
high.  All thanks to everyone at FH!{NewPage}I'm really looking forward to it.
Well... Actually,
I'm head over heels about it!",""
"{Yellow}【The Concert Was Fun!】{White}
We held a concert!
Whoo-hoo!
Actually, we were the ones performing
so we were really into it, but
I wonder how it sounded?
What did everyone think, I wonder...?{NewPage}Ahh, forget it.
Everyone else should start playing, too!
It's a lot more fun performing!  I haven't
given up on the Garden Festival, though!",""
"{Yellow}【Feeling Blue...】{White}
I've been feeling blue lately.
Whenever I think about Trabia.
Hmmm...
I wanna go.
I don't wanna go.",""
"{Yellow}【Good-bye Raijin, Fujin】{White}
Good-bye disciplinary committee.
I hope we can meet again on better terms.
I think...I wish I could've said bye...",""
"{Yellow}【The Day I Visited Trabia】{White}
I went to visit Trabia.
It was in a complete shambles.
Everyone who survived seems well.
Yeah, they were in high-spirits.
Even if you are pretending to be cheerful,
it eventually rubs off on you.{NewPage}And also...
The side effects of the GF
The stuff about losing memory...
Well, sure enough, it happened to me.
I just wasn't aware of it.{NewPage}When all of us were talking,
we started to remember a lot of stuff.
Even stuff we didn't want
to remember.
It made me really think that day.{NewPage}Sorceress Edea was someone very
special to me.  But still, I'll fight.
Because I'm a SeeD.{NewPage}If I write anymore, I think a weak side
of me will begin to show.
So I'm going to stop here.  There won't
be any more entries in this diary.
Thanks so much to all those
who took the time to read this!",""
"{Yellow}【We Did It, Everyone!】{White}
I know I said there'd be no more
entries, but I just had to write
one more thing.

Excellent job everyone!
I love you all!!!  WHOO-HOO!",""
"{Yellow}【A Day of Pondering】{White}
I thought the battles were over.
But it seems like they'll continue.
I wrote before how Sorceress Edea,
or Matron, was very special to me.{NewPage}She was a good sorceress after all.
She was possessed by a different
sorceress, but she's still in danger.
Even if she is being used, it'll be tough
fighting with Matron...{NewPage}It was the future sorceress, Ultimecia
who was controlling Matron.
Her objective is ‘time compression'.
I wonder what that is?
What happens when time is compressed?{NewPage}I'm more afraid of having to fight
the Matron than worrying about
this time compression thing.{NewPage}...Also,
what happened to {Rinoa}?
I know {Squall} is suffering.
Isn't there anything we can do?",""
"{Yellow}【Supporting {Squall}】{White}
{Squall} dissappeared with {Rinoa}.
Don't be angry at {Squall}.
{Squall}'s done so much already.
Just forgive him this one time?{NewPage}I'm supporting {Squall} all the way!
Go {Squall} go!  Go {Squall} go!
Get better, {Rinoa}!  Get better, {Rinoa}!",""
"{Yellow}【Our Big Adventure】{White}
Here's our report!
○Something Amazing...!
We went to Esthar!
We went into space!
And...And...I was the first one to
fly the ship Ragnarok!{NewPage}○Something Strange...
Monsters fell from the moon...
The big, huge,Lunatic Pandora.
I was like, what on earth is that!?",""
"{Yellow}【Our Big Adventure】{White}
Here's our report!
○Something Amazing...!
We went to Esthar!
And...And...I was the first one to
fly the ship, Ragnarok!
(The first non-Esthar person!){NewPage}○Something Strange...
Monsters fell from the moon...
The big, huge,Lunatic Pandora.
I was like, what on earth is that!?",""
"{Yellow}【Welcome Back, {Rinoa}】{White}
We all went to welcome {Rinoa} back.
{Squall}, {Rinoa}, me, and everyone
were so happy!{NewPage}I think {Rinoa} and I are a lot alike.
We just march to a different beat.
What do you think?
Sorceress or not, it all comes down
to what a person does.{NewPage}There's lots of good sorceresses, right?
I personally know of 1.
I'll soon know 2.
I'm sure of it.",""
"{Yellow}【A Day of Anticipation】{White}
I may actually meet Sir Laguna!!!
I'm so nervous...!  Whoo-hoo!!!",""
"{Yellow}【Believe】{White}
Love and friendship, a plan of courage.
A plan Sir Laguna came up with.
A marvelous plan.
That's what I believe.
I believe in it.
Here we GOOOOO!!!",""
"This page is all about stuff I like.
Sir Laguna is an actor I once saw
in a movie when I was little.
He only makes a cameo appearance
but he's just so cool.
Heeey, I don't remember what the movie
was!  Anyone have any idea!?",""
"Wanna see?
Not interested",""
"Let me know when you find
Timber Maniacs!!!",""
"I can't find
Timber Maniacs!",""
"Sir Laguna writes about the time he went
to the editor of Timber Maniacs.{NewPage}He brought an article entitled ‘Alcohol
Will Change You', but it got rejected.{NewPage}I think Sir Laguna's a lightweight!",""
"According to the article, Sir Laguna
gambled to try to cover travel expenses.{NewPage}But he lost it all and told how
dangerous gambling can be.{NewPage}I guess he got in a little over his head.",""
"In one of Sir Laguna's articles, he wrote
about how he tried to get to Esthar.{NewPage}He tried many different routes,
but he eventually ended up in Dollet.{NewPage}There's no way he can make it from Dollet.
You sure travel a lot, Sir Laguna!",""
"Do you understand this picture?
Sir Laguna even wrote ‘Esthar's Secret'.{NewPage}But actually...I know what it is!
This is where Sir Laguna went scouting.{NewPage}Was it ok for this to be published?
I guess he really needed the money!",""
"This is a hotel in Timber.
It's full of Galbadian soldiers.{NewPage}You'll still find soldiers there,
but this is a little too much, huh?{NewPage}Yes, this is a picture of when Timber
was occupied by Galbadia.{NewPage}Sir Laguna tried to stay at this hotel,
but it was used to house soldiers.{NewPage}Why are these articles from that period?{NewPage}That's because that was the period when
Laguna actually wrote the articles.{NewPage}So, all the magazines with Laguna's
articles are all old and worn out.{NewPage}I wonder how old Sir Laguna is now?
I betcha he's a dandy old guy!",""
"H-Heeey!?
According to the article, this is Esthar.{NewPage}I'm very happy Sir Laguna
made it to Esthar but...{NewPage}Is this real...?
This city is soooo cool!{NewPage}But I hear now, there's nothing on
the continent where Esthar is...",""
"According to Sir Laguna, he ended up here
when he got lost on the Esthar continent.{NewPage}I hope Sir Laguna was all right...
But what breathtaking scenery!{NewPage}I wanna go, too!
I wanna go, I wanna go, I wanna go!",""
"You all know this place!
Yes, it's the hotel in Balamb!{NewPage}So Sir Laguna went to Balamb, too.
Looks like Sir Laguna likes hotels.{NewPage}The article says he really wanted to
stay at the hotel but ran out of money.{NewPage}He wasn't able to try
the famous Balamb fish.",""
"This is amazing!
Sir Laguna's with the Shumi Tribe!{NewPage}The article says he got lost and injured,
but thankfully ended up here.{NewPage}Seems like Laguna gets lost a lot.
But he always repays an act of kindness.{NewPage}By the way, the master here is a Shumi.
I heard all about it from {Squall}.{NewPage}Shumi Tribe... I wanna meet them!",""
"Wow!
Sir Laguna's in a movie!{NewPage}Plus, it looks like it was shot
near Trabia!{NewPage}He could've been famous!
Oh...but I betcha he can't act...{NewPage}He speaks way too highly of himself
in the article.{NewPage}I just find it strange that
I don't see Ward in the picture...",""
"This is something extra.
It's the entrance to the Centra ruins.{NewPage}You see me in the picture?  There's a
statue of a sorceress and knight.{NewPage}It's kinda nice.
Although there are tons of monsters!",""
"Well looky here...
He writes proudly of it in the article.{NewPage}A pub, somewhere, plus the owner.
No name or location is written down.{NewPage}But actually, I know where it is.  I won't say
though, out of respect for Sir Laguna.{NewPage}But if it's that important, he shouldn't
have published it in a magazine.{NewPage}But I guess it's something special.",""
"Sir Laguna, finally in FH.!  This is
where he finally made it to Esthar.{NewPage}So it's true that you get there from FH.
By that time, there were no more trains.{NewPage}So Sir Laguna walked it.
I wonder what the trains were like, here?{NewPage}It says, this is Laguna in high-spirits
after finding out he had to walk there...!",""
"#bgryo1_1","237"
"",""
"",""
"Selphie
“Tee-hee!  So, what do you think?”",""
"Selphie
“You should get changed, too.
 We have that party to go to.”",""
"Selphie
“Tee-hee!”",""
"Selphie
“See!  See!”",""
"Selphie
“Gotta get changed for that PAAH-TAY!
 SeeD uniform, here we go!”",""
"Selphie
“HAH!
 Found you!”",""
"Selphie
“Well, well!?
 What do you think!?”",""
"Selphie
“My SeeD uniform!”",""
"Selphie
“Heeey!
 Lookin' good!”",""
"Selphie
“Alright!
 Let's hit that PAAH-TAY!”",""
"{Squall}
(Get changed?  Training center?
 What's this all about?)",""
"Selphie
“We're SeeDs now, so we have
 our own rooms.”{NewPage}“Your room's over there.”",""
"【Save Point】
 Access the Menu and select
[Save] to save your game.",""
"#bgryo1_2","238"
"",""
"#bgryo1_3","239"
"",""
"#bgryo1_4","240"
"",""
"Uniform...
Forget it
Get changed",""
"SeeD uniform...
Not just yet
Get changed",""
"My clothes...
Don't change
Get changed",""
"",""
"{Squall}
“Meet at the main hall after you change...”",""
"{Squall}
“Rest...”
Rest up
Forget it",""
"#bgryo1_5","241"
"",""
"Uniform...
Forget it
Get changed",""
"SeeD uniform...
Not just yet
Get changed",""
"My clothes...
Don't change
Get changed",""
"",""
"{Squall}
“Meet at the main hall after you change...”",""
"{Squall}
“Rest...”
Rest up
Forget it",""
"#bgryo1_6","242"
"",""
"#bgryo1_7","243"
"",""
"",""
"{Selphie}
“Check out these sweet duds!”{NewPage}{Selphie}
“Tee-hee!{Wait048}  Get yours on!”",""
"{Selphie}
“You should get changed, quick!”{NewPage}{Selphie}
“We don't wanna be late to the dance.”",""
"Selphie
“Tee-hee!”",""
"{Selphie}
“See!  See!”",""
"{Selphie}
“Gotta get changed for that PAAH-TAY!
 SeeD uniform, here we go!”",""
"{Selphie}
“HAH!
 Found you!”",""
"{Selphie}
“Well, well!?
 What do you think!?”{NewPage}{Selphie}
“You like my SeeD
 uniform, don't you?”",""
"{Selphie}
“I make this look good!”",""
"{Selphie}
“Heeey!
 Lookin' good!”",""
"{Selphie}
“Alright!
 Let's hit that PAAH-TAY!”",""
"{Squall}
(Meeting after curfew in the training center?
 What's this all about?)",""
"{Selphie}
“We're SeeDs now, so we have
 our own rooms.”{NewPage}{Selphie}
“Your room's over there.”",""
"【Save Point】
 Access the Menu and select
[Save] to save your game.",""
"#bgryo1_8","244"
"",""
"#bgryo2_1","245"
"",""
"",""
"",""
"",""
"{Selphie}
“{Squall}, wake up!{Wait032}  It's morning!”{NewPage}{Selphie}
“We've already got our first SeeD mission!
 Looks like we're going to {Blue}【{Timber}】{White}.”{NewPage}{Selphie}
“We gotta meet out {Blue}【by the front gate】{White}.{Wait048}
 Hurry!”",""
"{Squall}
“I'll just go to sleep...”",""
"{Squall}
“Face the bed...
{x0526} to rest
{x0527} to change clothes”",""
"{Squall}
“I should get some rest.”
Rest
Don't rest",""
"Leave me alone......
Maybe I'll take a break...
Forget it",""
"{Squall}
“Sorry.  Can you leave me alone?”",""
"(I'll take a break...)",""
"(Forget it...)",""
"{Squall}
“Maybe I'll wear my uniform.”
Get changed
Don't get changed",""
"(It seems like the Garden has
 finally calmed down.)",""
"(All the rebellious Garden Faculty
 members have been removed.)",""
"(The monsters have all been slain
 or returned to the Training Center.)",""
"(And my report of our last mission has been
 submitted to the Headmaster for review.)",""
"(Things are going well...)",""
"(...except that we're drifting out to sea...){NewPage}(...{Wait032}...{Wait032}in the middle of nowhere...{Wait048}...){Wait048}",""
"(I wonder if {Selphie} and the others
 are alright?){NewPage}(The missiles were launched.  {Wait048}
That means they must have failed...)",""
"(I...{Wait032}I hope they all survived...{Wait048}
 Somehow...){NewPage}(Was it wrong for me to let them go?{Wait064}
 I wonder how {Rinoa} and {Zell} felt about it.){NewPage}(...{Wait048}...{Wait064}And the sorceress...{Wait032} Her power was
 incredible. How are we supposed to stop her?){NewPage}(She almost killed me in Deling.  What would
 happen if I had to face her again...?)",""
"(I...{Wait032}I hope they all survived...{Wait048}
 Somehow...){NewPage}(Was it wrong for me to let them go?{Wait064}
 I wonder how {Rinoa} and {Quistis} felt about it.){NewPage}(...{Wait048}...{Wait064}And the sorceress...{Wait032} Her power was
 incredible. How are we supposed to stop her?){NewPage}(She almost killed me in Deling.  What would
 happen if I had to face her again...?)",""
"(I...{Wait032}I hope they all survived...{Wait048}
 Somehow...){NewPage}(Was it wrong for me to let them go?{Wait064}
 I wonder how {Rinoa} and {Irvine} felt about it.){NewPage}(...{Wait048}...{Wait064}And the sorceress...{Wait032} Her power was
 incredible. How are we supposed to stop her?){NewPage}(She almost killed me in Deling.  What would
 happen if I had to face her again...?)",""
"(I...{Wait032}I hope they all survived...{Wait048}
 Somehow...){NewPage}(Was it wrong for me to let them go?{Wait064}
 I wonder how {Quistis} and {Zell} felt about it.){NewPage}(...{Wait048}...{Wait064}And the sorceress...{Wait032} Her power was
 incredible. How are we supposed to stop her?){NewPage}(She almost killed me in Deling.  What would
 happen if I had to face her again...?)",""
"(I...{Wait032}I hope they all survived...{Wait048}
 Somehow...){NewPage}(Was it wrong for me to let them go?{Wait064}
 I wonder how {Quistis} and {Irvine} felt about it.){NewPage}(...{Wait048}...{Wait064}And the sorceress...{Wait032} Her power was
 incredible. How are we supposed to stop her?){NewPage}(She almost killed me in Deling.  What would
 happen if I had to face her again...?)",""
"(I...{Wait032}I hope they all survived...{Wait048}
 Somehow...){NewPage}(Was it wrong for me to let them go?{Wait064}
 I wonder how {Zell} and {Irvine} felt about it.){NewPage}(...{Wait048}...{Wait064}And the sorceress...{Wait032} Her power was
 incredible. How are we supposed to stop her?){NewPage}(She almost killed me in Deling.  What would
 happen if I had to face her again...?)",""
"(I don't know if I have the skill to win...{Wait032}...{Wait032}...{Wait032}
 I don't wanna think about that right now.)",""
"(I fell asleep again...)",""
"(Garden Master Norg...{Wait032}
 He caused so many problems...){NewPage}(I wonder how Headmaster Cid
 has dealt with him?){NewPage}(I should probably get up...)",""
"(I should probably get up. I'm sure the
 Headmaster is ready to hear my report.)",""
"{Rinoa}
“Good morning.",""
"{Rinoa}
“You looked so peaceful,
 sleeping like that.”",""
"{Rinoa}
“I didn't want to wake you...”",""
"{Squall}
“Did I leave my door unlocked?”{NewPage}{Squall}
“What are you doing in here?”",""
"{Rinoa}
“I'm sorry. I didn't mean
 anything by it, really.”{NewPage}{Rinoa}
“It's just that I'm still new
 to the Garden.”{NewPage}{Rinoa}
“I don't exactly know where
 anything is, yet...”{NewPage}{Rinoa}
“And I was kinda hoping...{Wait048}...{Wait064}
 you could show me around?”",""
"{Squall}
“...{Wait032}..{Wait032}I guess it would be too easy for me
 to just point you to the directory...”",""
"{Rinoa}
“Oh, come on!{Wait032} You know that's not good
 enough. {Wait064} Didn't you grow up here?”{Wait032}{NewPage}{Rinoa}
“I'm sure there are plenty of great things
 you'd love to show me.{Wait064}...{Wait064} Please?”",""
"{Squall}
“...Alright, Forest Owl.{Wait032}
 Let's go.”",""
"(Ellone always used to tell me how
 bad sorceresses were.)",""
"(Her stories about Sorceress Adel made
 it hard for me to sleep at night.){NewPage}(Every kid at the orphanage had fears that
 Adel might come for them in their sleep.)",""
"(But now...{Wait048}could Ellone really be a sorceress?
 She's nothing like Adel...{Wait128}or Edea...{Wait128}is she?){NewPage}(Is it possible to be a good sorceress?
 What would that even look like?)",""
"(I don't have any idea...{Wait032}...){NewPage}(...{Wait032}...{Wait032}but I bet Headmaster Cid does...)",""
"(How long has he known about Ellone?{Wait048}
 How long has he kept her identity a secret?){NewPage}(...{Wait032}...{Wait032}It never changes.... {Wait064}In the end, you can't
 trust anyone....{Wait064}anyone but yourself...)",""
"(Ellone...)",""
"【Save Point】
 Access the Menu and select
[Save] to save your game.",""
"{Rinoa}
“Hey, how's it going?”",""
"{Squall}
“You really gotta learn to knock.”",""
"{Rinoa}
“Sorry...{Wait032}
 I thought you might like some company.”",""
"{Rinoa}
“You haven't spoken to anyone
 since that girl left.”",""
"{Rinoa}
“How about we go for a walk?”",""
"{Squall}
“I'm not in the mood.”",""
"{Rinoa}
“Oh, come on...{Wait048} Why not?”{NewPage}{Rinoa}
“I'm sure there are still plenty of places
 around here you can't wait to show me!”",""
"{Squall}
“I've already shown you the whole Garden.”{NewPage}{Squall}
“You should be fine on your own, now.”",""
"{Rinoa}
“Ha, ha, {Squall}!”",""
"{Rinoa}
“That's not the point,
 and you know it!”",""
"{Rinoa}
“What's bothering you?”{NewPage}{Rinoa}
“I'm willing to listen...”",""
"{Rinoa}
“I get it.{Wait032} What you really need is to
 get your mind off your worries.”{NewPage}{Rinoa}
“Well, you're in luck! {Wait064} That just so
 happens to be my greatest skill!”",""
"{Rinoa}
“My services are at
 your disposal.”",""
"{Rinoa}
“So, what do you say?”
(I'll play along)
(Not this time)",""
"{Squall}
“Fine.{Wait032} You don't make it
 easy to say no.”",""
"{Rinoa}
“You honor me!”",""
"{Rinoa}
“Alright, let's get goin'!”",""
"{Squall}
“Sorry. Not this time.”",""
"{Rinoa}
“Oh...{Wait064}well just stay there, then!”{NewPage}{Rinoa}
“I got plenty of other things to do!”",""
"{Rinoa}
“I don't know why I even bothered...”",""
"{Squall}
“What?”",""
